stock_name,stock_type,stock_symbol,stock_country,,,,,,,,,,,,
HS효성,KOSPI,487570,KR,,,,,,,,,,,,
산일전기,KOSPI,62040,KR,,,,,,,,,,,,
엔에이치스팩31호,KOSDAQ,481890,KR,,,,,,,,,,,,
SK증권제13호스팩,KOSDAQ,473950,KR,,,,,,,,,,,,
엑셀세라퓨틱스,KOSDAQ,373110,KR,,,,,,,,,,,,
이베스트스팩6호,KOSDAQ,478110,KR,,,,,,,,,,,,
시프트업,KOSPI,462870,KR,,,,,,,,,,,,
하스,KOSDAQ,450330,KR,,,,,,,,,,,,
이노스페이스,KOSDAQ,462350,KR,,,,,,,,,,,,
신한글로벌액티브리츠,KOSPI,481850,KR,,,,,,,,,,,,
에이치브이엠,KOSDAQ,295310,KR,,,,,,,,,,,,
팡스카이,,266350,KR,,,,,,,,,,,,
하이젠알앤엠,KOSDAQ,160190,KR,,,,,,,,,,,,
한국제15호스팩,KOSDAQ,479880,KR,,,,,,,,,,,,
에스오에스랩,KOSDAQ,464080,KR,,,,,,,,,,,,
미래에셋비전스팩6호,KOSDAQ,478440,KR,,,,,,,,,,,,
에이치엠씨제7호스팩,KOSDAQ,477340,KR,,,,,,,,,,,,
파라다이스,KOSPI,34230,KR,,,,,,,,,,,,
한중엔시에스,KOSDAQ,107640,KR,,,,,,,,,,,,
KB제29호스팩,KOSDAQ,478390,KR,,,,,,,,,,,,
미래에셋비전스팩5호,KOSDAQ,477470,KR,,,,,,,,,,,,
씨어스테크놀로지,KOSDAQ,458870,KR,,,,,,,,,,,,
디비금융스팩12호,KOSDAQ,477760,KR,,,,,,,,,,,,
라메디텍,KOSDAQ,462510,KR,,,,,,,,,,,,
그리드위즈,KOSDAQ,453450,KR,,,,,,,,,,,,
다원넥스뷰,KOSDAQ,323350,KR,,,,,,,,,,,,
미래에셋비전스팩4호,KOSDAQ,477380,KR,,,,,,,,,,,,
노브랜드,KOSDAQ,145170,KR,,,,,,,,,,,,
아이씨티케이,KOSDAQ,456010,KR,,,,,,,,,,,,
HD현대마린솔루션,KOSPI,443060,KR,,,,,,,,,,,,
SK증권제12호스팩,KOSDAQ,473000,KR,,,,,,,,,,,,
코칩,KOSDAQ,126730,KR,,,,,,,,,,,,
민테크,KOSDAQ,452200,KR,,,,,,,,,,,,
카티스,KOSDAQ,140430,KR,,,,,,,,,,,,
디앤디파마텍,KOSDAQ,347850,KR,,,,,,,,,,,,
유안타제16호스팩,KOSDAQ,474490,KR,,,,,,,,,,,,
제일엠앤에스,KOSDAQ,412540,KR,,,,,,,,,,,,
삐아,KOSDAQ,451250,KR,,,,,,,,,,,,
하나33호스팩,KOSDAQ,475250,KR,,,,,,,,,,,,
신한제13호스팩,KOSDAQ,474930,KR,,,,,,,,,,,,
신한제12호스팩,KOSDAQ,474660,KR,,,,,,,,,,,,
아이엠비디엑스,KOSDAQ,461030,KR,,,,,,,,,,,,
SK이터닉스,KOSPI,475150,KR,,,,,,,,,,,,
