stock_symbol,stock_name,stock_type,stock_country
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAK,US
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",NASDAK,US
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAK,US
ADBE,Adobe Inc. - Common Stock,NASDAK,US
ADBG,Leverage Shares 2X Long ADBE Daily ETF,NASDAK,US
ADEA,Adeia Inc.  - Common Stock,NASDAK,US
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAK,US
ADI,"Analog Devices, Inc. - Common Stock",NASDAK,US
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAK,US
ADMA,ADMA Biologics Inc - Common Stock,NASDAK,US
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAK,US
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAK,US
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAK,US
ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAK,US
ADSK,"Autodesk, Inc. - Common Stock",NASDAK,US
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAK,US
ADTX,"Aditxt, Inc. - Common Stock",NASDAK,US
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAK,US
ADUS,Addus HomeCare Corporation - Common Stock,NASDAK,US
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAK,US
ADVB,Advanced Biomed Inc. - Common Stock,NASDAK,US
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAK,US
AEAQU,Activate Energy Acquisition Corp. - Unit,NASDAK,US
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAK,US
AEC,Anfield Energy Inc. - Common Shares,NASDAK,US
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAK,US
AEHR,Aehr Test Systems - Common Stock,NASDAK,US
AEI,Alset Inc. - Common Stock,NASDAK,US
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAK,US
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAK,US
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAK,US
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAK,US
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAK,US
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAK,US
AERTW,"Aeries Technology, Inc. - Warrant",NASDAK,US
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAK,US
AEVAW,"Aeva Technologies, Inc. - Redeemable Warrants",NASDAK,US
AEYE,"AudioEye, Inc. - Common Stock",NASDAK,US
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAK,US
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAK,US
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAK,US
AFJKR,"Aimei Health Technology Co., Ltd - Right",NASDAK,US
AFJKU,"Aimei Health Technology Co., Ltd - Unit",NASDAK,US
AFOS,ARS Focused Opportunity Strategy ETF,NASDAK,US
AFRI,Forafric Global PLC - Ordinary Shares,NASDAK,US
AFRIW,Forafric Global PLC - Warrants,NASDAK,US
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAK,US
AFSC,abrdn Focused U.S. Small Cap Active ETF,NASDAK,US
AFYA,Afya Limited - Class A Common Shares,NASDAK,US
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,NASDAK,US
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAK,US
AGEM,abrdn Emerging Markets Dividend Active ETF,NASDAK,US
AGEN,Agenus Inc. - Common Stock,NASDAK,US
AGGA,EA Astoria Dynamic Core US Fixed Income ETF,NASDAK,US
AGH,Aureus Greenway Holdings Inc. - Common Stock,NASDAK,US
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAK,US
AGIX,KraneShares Artificial Intelligence & Technology ETF,NASDAK,US
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAK,US
AGMI,Themes Silver Miners ETF,NASDAK,US
AGNC,AGNC Investment Corp. - Common Stock,NASDAK,US
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",NASDAK,US
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAK,US
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",NASDAK,US
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAK,US
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAK,US
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",NASDAK,US
AGNG,Global X Aging Population ETF,NASDAK,US
AGPU,Axe Compute Inc. - Common Stock,NASDAK,US
AGRZ,Agroz Inc. - Ordinary Shares,NASDAK,US
AGYS,"Agilysys, Inc. - Common Stock",NASDAK,US
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,NASDAK,US
AHCO,AdaptHealth Corp.  - Common Stock,NASDAK,US
AHG,Akso Health Group - American Depositary Shares,NASDAK,US
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAK,US
AIA,iShares Asia 50 ETF,NASDAK,US
AIFD,TCW Artificial Intelligence ETF,NASDAK,US
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAK,US
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAK,US
AIHS,Senmiao Technology Limited - Common Stock,NASDAK,US
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAK,US
AIIOW,Robo.ai Inc. - Warrant,NASDAK,US
AIMD,"Ainos, Inc. - Common Stock",NASDAK,US
AIMDW,"Ainos, Inc. - warrants",NASDAK,US
AIOT,"PowerFleet, Inc. - Common Stock",NASDAK,US
AIP,"Arteris, Inc.  - Common Stock",NASDAK,US
AIPI,REX AI Equity Premium Income ETF,NASDAK,US
AIPO,Defiance AI & Power Infrastructure ETF,NASDAK,US
AIQ,Global X Artificial Intelligence & Technology ETF,NASDAK,US
AIRE,reAlpha Tech Corp. - Common Stock,NASDAK,US
AIRG,"Airgain, Inc. - Common Stock",NASDAK,US
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAK,US
AIRJW,AirJoule Technologies Corporation - Warrant,NASDAK,US
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAK,US
AIRR,First Trust RBA American Industrial Renaissance ETF,NASDAK,US
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAK,US
AIRT,"Air T, Inc. - Common Stock",NASDAK,US
AIRTP,"Air T, Inc. - Trust Preferred Securities",NASDAK,US
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAK,US
AISPW,"Airship AI Holdings, Inc - Warrants",NASDAK,US
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAK,US
AIXI,XIAO-I Corporation - American Depositary Shares,NASDAK,US
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAK,US
AKAN,Akanda Corp. - Common Shares,NASDAK,US
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAK,US
AKTS,"Aktis Oncology, Inc. - Common stock",NASDAK,US
AKTX,Akari Therapeutics Plc - American Depositary Shares,NASDAK,US
ALAB,"Astera Labs, Inc. - Common Stock",NASDAK,US
ALAR,Alarum Technologies Ltd. - American Depositary Shares,NASDAK,US
ALBG,Leverage Shares 2X Long ALB Daily ETF,NASDAK,US
ALBT,Avalon GloboCare Corp. - Common Stock,NASDAK,US
ALCO,"Alico, Inc. - Common Stock",NASDAK,US
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,NASDAK,US
ALCYU,Alchemy Investments Acquisition Corp 1 - Units,NASDAK,US
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,NASDAK,US
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,NASDAK,US
ALDFU,Aldel Financial II Inc. - Units,NASDAK,US
ALDFW,Aldel Financial II Inc. - Warrants,NASDAK,US
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAK,US
ALEC,"Alector, Inc. - Common Stock",NASDAK,US
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,NASDAK,US
ALFUU,Centurion Acquisition Corp. - Unit,NASDAK,US
ALFUW,Centurion Acquisition Corp. - Warrant,NASDAK,US
ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAK,US
ALGN,"Align Technology, Inc. - Common Stock",NASDAK,US
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAK,US
ALGT,Allegiant Travel Company - Common Stock,NASDAK,US
ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAK,US
ALIL,Argent Focused Small Cap ETF,NASDAK,US
ALIS,Calisa Acquisition Corp - Ordinary shares,NASDAK,US
ALISR,Calisa Acquisition Corp - Right,NASDAK,US
ALISU,Calisa Acquisition Corp - Units,NASDAK,US
ALKS,Alkermes plc - Ordinary Shares,NASDAK,US
ALKT,"Alkami Technology, Inc. - Common Stock",NASDAK,US
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAK,US
ALLR,"Allarity Therapeutics, Inc. - Common stock",NASDAK,US
ALLT,Allot Ltd. - Ordinary Shares,NASDAK,US
ALLW,SPDR Bridgewater All Weather ETF,NASDAK,US
ALM,Almonty Industries Inc. - Common Shares,NASDAK,US
ALMS,Alumis Inc. - Common Stock,NASDAK,US
ALMU,"Aeluma, Inc. - Common Stock",NASDAK,US
ALNT,Allient Inc. - Common Stock,NASDAK,US
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAK,US
ALOT,"AstroNova, Inc. - Common Stock",NASDAK,US
ALOVU,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Units",NASDAK,US
ALPS,ALPS Group Inc - Ordinary Share,NASDAK,US
ALRM,"Alarm.com Holdings, Inc. - Common Stock",NASDAK,US
ALRS,Alerus Financial Corporation - Common Stock,NASDAK,US
ALT,"Altimmune, Inc. - Common Stock",NASDAK,US
ALTI,"AlTi Global, Inc. - Class A Common Stock",NASDAK,US
ALTO,"Alto Ingredients, Inc. - Common Stock",NASDAK,US
ALTS,ALT5 Sigma Corporation - Common Stock,NASDAK,US
ALTY,Global X Alternative Income ETF,NASDAK,US
ALVO,Alvotech - Ordinary Shares,NASDAK,US
ALVOW,Alvotech - Warrant,NASDAK,US
ALXO,ALX Oncology Holdings Inc. - Common Stock,NASDAK,US
ALZN,"Alzamend Neuro, Inc. - Common Stock",NASDAK,US
AMAL,Amalgamated Financial Corp. - Common Stock,NASDAK,US
AMAT,"Applied Materials, Inc. - Common Stock",NASDAK,US
AMBA,"Ambarella, Inc. - Ordinary Shares",NASDAK,US
AMBR,Amber International Holding Limited - American Depositary Shares,NASDAK,US
AMCI,AMC Robotics Corporation - Common Stock,NASDAK,US
AMCX,AMC Networks Inc. - Class A Common Stock,NASDAK,US
AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAK,US
AMDD,Direxion Daily AMD Bear 1X Shares,NASDAK,US
AMDG,Leverage Shares 2X Long AMD Daily ETF,NASDAK,US
AMDL,GraniteShares 2x Long AMD Daily ETF,NASDAK,US
AMDU,Defiance Leveraged Long + Income AMD ETF,NASDAK,US
AMGN,Amgen Inc. - Common Stock,NASDAK,US
AMID,Argent Mid Cap ETF,NASDAK,US
AMIX,"Autonomix Medical, Inc. - Common Stock",NASDAK,US
AMKR,"Amkor Technology, Inc. - Common Stock",NASDAK,US
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",NASDAK,US
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",NASDAK,US
AMODW,"Alpha Modus Holdings, Inc. - Warrant",NASDAK,US
AMPG,"Amplitech Group, Inc. - Common Stock",NASDAK,US
AMPGW,"Amplitech Group, Inc. - Warrants",NASDAK,US
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",NASDAK,US
AMPL,"Amplitude, Inc. - Class A Common Stock",NASDAK,US
AMRN,Amarin Corporation plc - American Depositary Shares,NASDAK,US
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",NASDAK,US
AMSC,American Superconductor Corporation - Common Stock,NASDAK,US
AMSF,"AMERISAFE, Inc. - Common Stock",NASDAK,US
AMST,Amesite Inc. - Common Stock,NASDAK,US
AMTX,"Aemetis, Inc - Common Stock",NASDAK,US
AMUN,abrdn Ultra Short Municipal Income Active ETF,NASDAK,US
AMUU,Direxion Daily AMD Bull 2X Shares,NASDAK,US
AMWD,American Woodmark Corporation - Common Stock,NASDAK,US
AMYY,GraniteShares YieldBOOST AMD ETF,NASDAK,US
AMZD,Direxion Daily AMZN Bear 1X Shares,NASDAK,US
AMZN,"Amazon.com, Inc. - Common Stock",NASDAK,US
AMZU,Direxion Daily AMZN Bull 2X Shares,NASDAK,US
AMZZ,GraniteShares 2x Long AMZN Daily ETF,NASDAK,US
ANAB,"AnaptysBio, Inc. - Common Stock",NASDAK,US
ANDE,"The Andersons, Inc. - Common Stock",NASDAK,US
ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock",NASDAK,US
ANEL,Defiance Daily Target 2x Long ANET ETF,NASDAK,US
ANGH,Anghami Inc. - Ordinary Shares,NASDAK,US
ANGHW,Anghami Inc. - Warrants,NASDAK,US
ANGI,Angi Inc. - Class A Common Stock,NASDAK,US
ANGL,VanEck Fallen Angel High Yield Bond ETF,NASDAK,US
ANGO,"AngioDynamics, Inc. - Common Stock",NASDAK,US
ANIK,Anika Therapeutics Inc. - Common Stock,NASDAK,US
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",NASDAK,US
ANIX,"Anixa Biosciences, Inc. - Common Stock",NASDAK,US
ANL,Adlai Nortye Ltd. - American Depositary Shares,NASDAK,US
ANNA,"AleAnna, Inc. - Class A Common Stock",NASDAK,US
ANNAW,"AleAnna, Inc. - Warrant",NASDAK,US
ANNX,"Annexon, Inc. - common stock",NASDAK,US
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,NASDAK,US
ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,NASDAK,US
ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit,NASDAK,US
ANSCW,Agriculture & Natural Solutions Acquisition Corporation - Warrant,NASDAK,US
ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,NASDAK,US
ANTX,"AN2 Therapeutics, Inc. - Common Stock",NASDAK,US
ANY,Sphere 3D Corp. - Common Shares,NASDAK,US
AOHY,Angel Oak High Yield Opportunities ETF,NASDAK,US
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,NASDAK,US
AOTG,AOT Growth and Innovation ETF,NASDAK,US
AOUT,"American Outdoor Brands, Inc. - Common Stock",NASDAK,US
APA,APA Corporation - Common Stock,NASDAK,US
APAC,StoneBridge Acquisition II Corporation - Class A Ordinary Shares,NASDAK,US
APACR,StoneBridge Acquisition II Corporation - Rights,NASDAK,US
APACU,StoneBridge Acquisition II Corporation - Units,NASDAK,US
APAD,A Paradise Acquisition Corp. - Class A Ordinary Shares,NASDAK,US
APADR,A Paradise Acquisition Corp. - Rights,NASDAK,US
APADU,A Paradise Acquisition Corp. - Unit,NASDAK,US
APEI,"American Public Education, Inc. - Common Stock",NASDAK,US
APGE,"Apogee Therapeutics, Inc. - Common Stock",NASDAK,US
API,"Agora, Inc. - ADS",NASDAK,US
APLD,Applied Digital Corporation - Common Stock,NASDAK,US
APLM,Apollomics Inc. - Class A Ordinary Shares,NASDAK,US
APLMW,Apollomics Inc. - Warrant,NASDAK,US
APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",NASDAK,US
APLT,"Applied Therapeutics, Inc. - Common Stock",NASDAK,US
APM,Aptorum Group Limited - Class A Ordinary Shares,NASDAK,US
APOG,"Apogee Enterprises, Inc. - Common Stock",NASDAK,US
APP,Applovin Corporation - Class A Common Stock,NASDAK,US
APPF,"AppFolio, Inc. - Class A Common Stock",NASDAK,US
APPN,Appian Corporation - Class A Common Stock,NASDAK,US
APPS,"Digital Turbine, Inc. - Common Stock",NASDAK,US
APPX,Tradr 2X Long APP Daily ETF,NASDAK,US
APRE,"Aprea Therapeutics, Inc. - Common Stock",NASDAK,US
APVO,Aptevo Therapeutics Inc. - Common Stock,NASDAK,US
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",NASDAK,US
APXT,Apex Treasury Corporation - Class A Ordinary Share,NASDAK,US
APXTU,Apex Treasury Corporation - Units,NASDAK,US
APXTW,Apex Treasury Corporation - Warrants,NASDAK,US
APYX,Apyx Medical Corporation - Common Stock,NASDAK,US
AQB,"AquaBounty Technologies, Inc. - Common Stock",NASDAK,US
AQMS,"Aqua Metals, Inc. - Common Stock",NASDAK,US
AQST,"Aquestive Therapeutics, Inc. - Common Stock",NASDAK,US
AQWA,Global X Clean Water ETF,NASDAK,US
ARAI,Arrive AI Inc. - Common Stock,NASDAK,US
ARAY,Accuray Incorporated - Common Stock,NASDAK,US
ARBB,ARB IOT Group Limited - Ordinary Shares,NASDAK,US
ARBE,Arbe Robotics Ltd. - Ordinary Shares,NASDAK,US
ARBEW,Arbe Robotics Ltd. - Warrant,NASDAK,US
ARBK,Argo Blockchain plc - American Depositary Shares,NASDAK,US
ARCB,ArcBest Corporation - Common Stock,NASDAK,US
ARCC,Ares Capital Corporation - Closed End Fund,NASDAK,US
ARCIU,Archimedes Tech SPAC Partners III Co. - Unit,NASDAK,US
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,NASDAK,US
ARDX,"Ardelyx, Inc. - Common Stock",NASDAK,US
AREB,"American Rebel Holdings, Inc. - Common Stock",NASDAK,US
AREBW,"American Rebel Holdings, Inc. - warrants",NASDAK,US
AREC,American Resources Corporation - Class A Common Stock,NASDAK,US
ARGX,argenx SE - American Depositary Shares,NASDAK,US
ARHS,"Arhaus, Inc. - Class A Common Stock",NASDAK,US
ARKO,ARKO Corp. - Common Stock,NASDAK,US
ARKR,Ark Restaurants Corp. - Common Stock,NASDAK,US
ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",NASDAK,US
ARM,Arm Holdings plc - American Depositary Shares,NASDAK,US
ARMG,Leverage Shares 2X Long ARM Daily ETF,NASDAK,US
AROW,Arrow Financial Corporation - Common Stock,NASDAK,US
ARQ,"Arq, Inc. - Common Stock",NASDAK,US
ARQQ,Arqit Quantum Inc. - Ordinary Shares,NASDAK,US
ARQQW,Arqit Quantum Inc. - Warrants,NASDAK,US
ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",NASDAK,US
ARRY,"Array Technologies, Inc. - Common Stock",NASDAK,US
ARTCU,Art Technology Acquisition Corp. - Units,NASDAK,US
ARTL,"Artelo Biosciences, Inc. - Common Stock",NASDAK,US
ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,NASDAK,US
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",NASDAK,US
ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",NASDAK,US
ARVN,"Arvinas, Inc. - Common Stock",NASDAK,US
ARVR,First Trust Indxx Metaverse ETF,NASDAK,US
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",NASDAK,US
ASBP,"Aspire Biopharma Holdings, Inc.  - Common Stock",NASDAK,US
ASBPW,"Aspire Biopharma Holdings, Inc.  - Warrant",NASDAK,US
ASCI,abrdn International Small Cap Active ETF,NASDAK,US
ASLE,AerSale Corporation - Common Stock,NASDAK,US
ASMB,"Assembly Biosciences, Inc. - Common Stock",NASDAK,US
ASMG,Leverage Shares 2X Long ASML Daily ETF,NASDAK,US
ASML,ASML Holding N.V. - New York Registry Shares,NASDAK,US
ASND,Ascendis Pharma A/S - American Depositary Shares,NASDAK,US
ASNS,"Actelis Networks, Inc. - Common Stock",NASDAK,US
ASO,"Academy Sports and Outdoors, Inc. - Common Stock",NASDAK,US
ASPC,A SPAC III Acquisition Corp. - Class A Ordinary Shares,NASDAK,US
ASPCR,A SPAC III Acquisition Corp. - Right,NASDAK,US
ASPCU,A SPAC III Acquisition Corp. - Unit,NASDAK,US
ASPI,ASP Isotopes Inc. - Common Stock,NASDAK,US
ASPS,Altisource Portfolio Solutions S.A. - Common Stock,NASDAK,US
ASPSW,Altisource Portfolio Solutions S.A. - Net Settle Stakeholder Warrants,NASDAK,US
ASPSZ,Altisource Portfolio Solutions S.A. - Cash Exercise Stakeholder Warrants,NASDAK,US
ASRT,"Assertio Holdings, Inc. - Common Stock",NASDAK,US
ASRV,AmeriServ Financial Inc. - Common Stock,NASDAK,US
ASST,"Strive, Inc. - Class A Common Stock",NASDAK,US
ASTC,Astrotech Corporation - Common Stock,NASDAK,US
ASTE,"Astec Industries, Inc. - Common Stock",NASDAK,US
ASTH,Astrana Health Inc. - Common Stock,NASDAK,US
ASTI,"Ascent Solar Technologies, Inc - Common Stock",NASDAK,US
ASTL,Algoma Steel Group Inc. - Common Shares,NASDAK,US
ASTLW,Algoma Steel Group Inc. - Warrant,NASDAK,US
ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",NASDAK,US
ASUR,Asure Software Inc - Common Stock,NASDAK,US
ASYS,"Amtech Systems, Inc. - Common Stock",NASDAK,US
ATAI,AtaiBeckley Inc. - Common Stock,NASDAK,US
ATAT,Atour Lifestyle Holdings Limited - American Depositary Shares,NASDAK,US
